Реестр образовательных программ и соответствующая им структура учебных групп факультета "АК" МГТУ им. Н.Э. Баумана
Кафедра "АК-1"
Группа | ОКСО | Специализация | Квалификация 
УЦ4-61 | 200503 - Стандартизация и сертификация | 00 -  | 65 - Инженер
УЦ4-71 | - -  |  -  |  - 
УЦ4-81 | - -  |  -  |  - 
Кафедра "УЦ-5"
Группа | ОКСО | Специализация | Квалификация 
УЦ5-31 | 230102 - Автоматизированные системы обработки информации и управления | 00 -  | 65 - Инженер
УЦ5-41 | 230102 - Автоматизированные системы обработки информации и управления | 00 -  | 65 - Инженер
УЦ5-51 | 230102 - Автоматизированные системы обработки информации и управления | 00 -  | 65 - Инженер
УЦ5-61 | 230102 - Автоматизированные системы обработки информации и управления | 00 -  | 65 - Инженер
УЦ5-71 | - -  |  -  |  - 
УЦ5-81 | - -  |  -  |  - 
Кафедра "УЦ-8"
Группа | ОКСО | Специализация | Квалификация 
УЦ8-31 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
УЦ8-41 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
УЦ8-51 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
УЦ8-61 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
УЦ8-71 | - -  |  -  |  - 
УЦ8-81 | - -  |  -  |  - 
Декан факультета "ГУИМЦ" Станевский А.Г. _________________________
Реестр образовательных программ и соответствующая им структура учебных групп факультета "ИБМ" МГТУ им. Н.Э. Баумана
Кафедра "ИБМ-1"
Группа | ОКСО | Специализация | Квалификация 
ИБМ1-11 | 080507 - Менеджмент организации | 00 -  | 65 - Менеджер
ИБМ1-21 | 080507 - Менеджмент организации | 00 -  | 65 - Менеджер
ИБМ1-22 | 080507 - Менеджмент организации | 00 -  | 65 - Менеджер
ИБМ1-31 | 080507 - Менеджмент организации | 00 -  | 65 - Менеджер
ИБМ1-41 | 080507 - Менеджмент организации | 00 -  | 65 - Менеджер
ИБМ1-51 | 080507 - Менеджмент организации | 00 -  | 65 - Менеджер
ИБМ1-61 | 080507 - Менеджмент организации | 00 -  | 65 - Менеджер
ИБМ1-91 | 080507 - Менеджмент организации | 31 - Государственное регулирование экономических ресурсов | 65 - Менеджер
ИБМ1-101 | 080507 - Менеджмент организации | 00 -  | 65 - Менеджер
ИБМ1-111 | 080507 - Менеджмент организации | 31 - Государственное регулирование экономических ресурсов | 65 - Менеджер
ИБМ1-121 | 080507 - Менеджмент организации | 00 -  | 65 - Менеджер
Кафедра "ИБМ-2"
Группа | ОКСО | Специализация | Квалификация 
ИБМ2-11 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ2-12 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ2-21 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ2-22 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ2-31 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ2-32 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ2-41 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ2-42 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ2-51 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ2-52 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ2-61 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ2-62 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ2-71 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ2-81 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ2-91 | 220701 - Менеджмент высоких технологий | 04 -  | 65 - Инженер-менеджер
ИБМ2-92 | 220701 - Менеджмент высоких технологий | 05 -  | 65 - Инженер-менеджер
ИБМ2-101 | 220701 - Менеджмент высоких технологий | 04 -  | 65 - Инженер-менеджер
ИБМ2-102 | 220701 - Менеджмент высоких технологий | 05 -  | 65 - Инженер-менеджер
ИБМ2-111 | 220701 - Менеджмент высоких технологий | 04 -  | 65 - Инженер-менеджер
ИБМ2-112 | 220701 - Менеджмент высоких технологий | 05 -  | 65 - Инженер-менеджер
ИБМ2-121 | 220701 - Менеджмент высоких технологий | 04 -  | 65 - Инженер-менеджер
ИБМ2-122 | 220701 - Менеджмент высоких технологий | 05 -  | 65 - Инженер-менеджер
Кафедра "ИБМ-3"
Группа | ОКСО | Специализация | Квалификация 
ИБМ3-11 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-12 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-21 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-22 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-31 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-32 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-41 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-42 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-51 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-52 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-61 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-62 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-71 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-72 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-81 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-82 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-91 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-101 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-111 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ3-121 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
Кафедра "ИБМ-4"
Группа | ОКСО | Специализация | Квалификация 
ИБМ4-11 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
ИБМ4-21 | 220701 - Менеджмент высоких технологий | 00 -  | 65 - Инженер-менеджер
